station_name,latitude,longitude
NAVABPALEM RAILWAY STN,16.8063647,81.588431
ALANDI RAILWAY STN,18.6782865,73.8950336
JABRI RAILWAY STN,23.320468,76.9153281
PALLEVADA RAILWAY STN,16.5812598,81.3227505
ALAPAKAM RAILWAY STN,11.6016159,79.7201838
KALA BAKRA RAILWAY STN,31.4344593,75.6499025
ALAWALPUR RAILWAY STN,31.4344593,75.6499025
KOPAI RAILWAY STN,23.747763,87.7012498
SONIK RAILWAY STN,26.5974713,80.5577336
BIHTA RAILWAY STN,25.5476864,84.9010818
JARWAL ROAD RAILWAY STN,27.0256812,79.7596142
GHAGHARA CHAT RAILWAY STN,27.0256812,79.7596142
ALIA BADA RAILWAY STN,22.4522297,70.2110679
ALIGARH JUNCTION,27.8973944,78.0880129
MAGRA RAILWAY STN,22.9764949,88.3712796
NEW ALIPURDUAR RAILWAY STN,26.4922164,89.5319627
ALIPUR DUAR JUNCTION,26.4922164,89.5319627
ALIPUR DUAR RAILWAY STN,26.4922164,89.5319627
BALAPALLE RAILWAY STN,9.4980667,76.3388484
ALLEPPEY RAILWAY STN,9.4980667,76.3388484
JIYAPURAM RAILWAY STN,14.6831434,80.0533276
MEKKUDI RAILWAY STN,14.6831434,80.0533276
MUTTARASANALLUR RAILWAY STN,14.6831434,80.0533276
ALMATTI RAILWAY STN,16.3515456,75.8795378
ULNA BHARI RAILWAY STN,26.6332844,82.3153433
ALNAVAR JUNCTION,15.426952,74.7380961
VIKRAMGARH ALOT RAILWAY STN,23.7624528,75.5553267
TALAVLI RAILWAY STN,27.0238036,74.2179326
ALUVA RAILWAY STN,10.1003709,76.3570382
CHOVVARA RAILWAY STN,10.1003709,76.3570382
ALWAR RAILWAY STN,27.5529907,76.6345735
NOMODA RAILWAY STN,27.5529907,76.6345735
MANKATHA RAILWAY STN,25.1899611,86.0580585
AMALNER RAILWAY STN,21.0448207,75.0639567
AMALSAD RAILWAY STN,20.8139725,72.9553012
GOURINATHDHAM RAILWAY STN,23.3902781,86.2755304
AMARGARH RAILWAY STN,24.0720597,77.030539
SINDHAWADAR RAILWAY STN,22.5868331,70.9115822
AMARSAR RAILWAY STN,22.5868331,70.9115822
AMBODALA RAILWAY STN,19.8343745,83.4576861
DOIKALLU RAILWAY STN,19.8343745,83.4576861
THAKURTOTA RAILWAY STN,21.1981574,86.2013511
AMBAGAON RAILWAY STN,21.6530274,84.9791535
AMBALA CANT JUNCTION,30.3752011,76.782122
AMBALA CITY RAILWAY STN,30.3752011,76.782122
AMBALAPPUZHA RAILWAY STN,9.3786514,76.362836
AMBALE RAILWAY STN,18.4123239,74.1650991
RAJEVADI RAILWAY STN,18.4123239,74.1650991
SHIBLUN RAILWAY STN,23.6889979,88.0827481
AMBALGRAM RAILWAY STN,23.6889979,88.0827481
